stimuli_file,mos,count,ci,std,factor,upscaler,base_img
./stimuli/BSRGAN/x2/01_IMG_9678_BSRGANx2.png,3.5,14,1.4142932710346625,1.224744871391589,x2,BSRGAN,01_IMG_9678
./stimuli/BSRGAN/x2/01_IMG_9832_BSRGANx2.png,4.0,10,0.9538092079367626,0.6666666666666666,x2,BSRGAN,01_IMG_9832
./stimuli/BSRGAN/x2/01_IMG_9943_BSRGANx2.png,4.0,16,1.02958794600648,0.9660917830792959,x2,BSRGAN,01_IMG_9943
./stimuli/BSRGAN/x2/01_IMG_9988_BSRGANx2.png,3.625,16,1.0203537868667123,0.9574271077563381,x2,BSRGAN,01_IMG_9988
./stimuli/BSRGAN/x2/01_IMG_9996_BSRGANx2.png,3.0,10,1.3488899177805092,0.9428090415820634,x2,BSRGAN,01_IMG_9996
./stimuli/BSRGAN/x2/02_IMG_0047_BSRGANx2.png,3.4285714285714284,14,1.2580127048554046,1.0894095588038444,x2,BSRGAN,02_IMG_0047
./stimuli/BSRGAN/x2/02_IMG_0278_BSRGANx2.png,3.8095238095238093,21,0.6824304527241583,0.7496030695673291,x2,BSRGAN,02_IMG_0278
./stimuli/BSRGAN/x2/IMG-20151029-WA0005_BSRGANx2.png,3.6666666666666665,9,1.5373360900222464,1.0,x2,BSRGAN,IMG-20151029-WA0005
./stimuli/BSRGAN/x2/IMG-20170508-WA0004_BSRGANx2.png,3.7777777777777777,9,1.2811134083518727,0.8333333333333334,x2,BSRGAN,IMG-20170508-WA0004
./stimuli/BSRGAN/x2/IMG-20170508-WA0005_BSRGANx2.png,3.7058823529411766,17,0.8729021820321812,0.8488746876271654,x2,BSRGAN,IMG-20170508-WA0005
./stimuli/BSRGAN/x2/IMG_0651_BSRGANx2.png,3.6,10,1.2064838201285286,0.8432740427115679,x2,BSRGAN,IMG_0651
./stimuli/BSRGAN/x2/IMG_1665_BSRGANx2.png,3.473684210526316,19,0.9295304888485738,0.964274111134126,x2,BSRGAN,IMG_1665
./stimuli/BSRGAN/x2/IMG_20170907_182814017_BSRGANx2.png,3.5833333333333335,12,1.2659168169376547,0.996204919895622,x2,BSRGAN,IMG_20170907_182814017
./stimuli/BSRGAN/x2/IMG_20180118_122557411_BSRGANx2.png,2.9047619047619047,21,0.8590890788868375,0.9436504599035548,x2,BSRGAN,IMG_20180118_122557411
./stimuli/BSRGAN/x2/IMG_20180201_171046026_BSRGANx2.png,3.1538461538461537,13,1.2909991174778943,1.0681880176381127,x2,BSRGAN,IMG_20180201_171046026
./stimuli/BSRGAN/x2/IMG_20180224_212247556_BSRGANx2.png,3.1666666666666665,12,1.6991257550603072,1.3371158468430429,x2,BSRGAN,IMG_20180224_212247556
./stimuli/BSRGAN/x2/IMG_20180225_180057451_BSRGANx2.png,3.888888888888889,9,0.9238240166994229,0.6009252125773316,x2,BSRGAN,IMG_20180225_180057451
