image,nima_q,nima_a,blur,blur_stength,ci,color_fulness,contrast,count_1,count_2,count_3,count_4,count_5,cpbd,deepgaze_connected_components,deepgaze_mean_saliency,deepgaze_std_saliency,dominant_color,fft,filename,mean_depth,mean_dominant_color,mean_segmentation,mos,neg,neu,niqe,noise,num_ratings,number_segmentation,pos,rule_of_thirds,saturation,si,simplicity,std,std_depth,std_segmentation,tone,unisalconnected_components,unisalmean_saliency,unisalstd_saliency
pixabay_first50k/medium/still-life-art-and-literature-4778543.jpg,5.201665878295898,5.443224789916712,26406.702097777285,0.32731182736659703,0.5027719570186693,138.65997947380754,84.1814160686193,2,1,8,7,5,0.8847222222222221,5,0.010057734604105,0.099782646681369,"[8, 9, 3]",56388.30028626365,pixabay_first50k/medium/still-life-art-and-literature-4778543.jpg,20634.996669841734,6.666666666666667,2.877562646541617,3.5217391304347827,0.22256249,0.25545576,19.59755516052246,0.5747460441138801,23,11,0.5219817,0.9958527684211731,45.4515833194537,0.23238088755673303,2.1638519683619965e-05,1.1626601636447695,16945.347024185554,3.252017185805739,0.75982574509804,6,0.018194973622508,0.13365596341871502
pixabay_first50k/medium/textures-3668419.jpg,5.092142775654793,5.644748682749196,67384.02951954733,0.268582996465698,0.5137467813770451,104.67508172406912,83.55293850538507,4,7,7,5,4,0.9750000000000001,3,0.06223849372384901,0.24158821085234203,"[74, 90, 122]",57614.486989542325,pixabay_first50k/medium/textures-3668419.jpg,32574.007028637123,95.33333333333333,2.203721606744704,2.925925925925926,0.43040353,0.38274753,17.142606735229492,3.8474783027125863,27,6,0.18684891,0.008139789104461,43.201121780833915,0.38248818371317805,9.852608400251484e-07,1.2986953786818858,16790.058447239415,0.9681907381504631,0.5770078431372551,2,0.160671857580824,0.36722801059063004
pixabay_first50k/medium/goose-3190750.jpg,5.255114436149597,5.531335684231521,48336.48304102969,0.417756434289751,0.4013329853792147,52.028023446851634,80.85126907650708,2,2,10,11,5,0.836490528414755,3,0.035686188811188,0.185506562523596,"[216, 209, 210]",59962.97155740131,pixabay_first50k/medium/goose-3190750.jpg,29726.292759892338,211.66666666666666,0.928711374440715,3.5,0.12812585,0.3822139,19.581439971923828,0.39769705986621,30,7,0.48966032,5.045864035846739e-14,11.047839287273046,0.25559395537448504,0.9999940395355221,1.0747894741730135,21863.079921027187,1.287889637111972,0.7888533333333331,8,0.030220567673378003,0.17119370596747002
pixabay_first50k/medium/swan-fight-4066486.jpg,5.195546388626099,5.461508325681962,48337.18639335324,0.43905944026458904,0.4050741042943406,128.99933704075815,88.05561706946514,0,6,9,6,2,0.6195652173913041,3,0.00917368228404,0.095339004805968,"[82, 92, 93]",54360.70914679536,pixabay_first50k/medium/swan-fight-4066486.jpg,30334.011318976874,89.0,0.29422021370023405,3.1739130434782608,0.124717705,0.36192518,18.45914077758789,0.9712546817652811,23,9,0.5133571,0.004657238721847001,15.047624457971981,0.31459514168403,0.9974233508110041,0.9367338766860231,19387.24885784411,1.091900821943208,0.610565098039215,2,0.039221677400468,0.19412196532685702
pixabay_first50k/medium/el-capitan-4933472.jpg,4.831330239772797,5.597155496564227,58812.675989245035,0.22390197215211802,0.4296347462088106,153.93284826212886,84.46650801050302,0,3,4,8,10,0.9886685552407931,3,0.06658935546875,0.249309472758269,"[112, 170, 218]",61641.96052665268,pixabay_first50k/medium/el-capitan-4933472.jpg,21553.639599609374,166.66666666666666,0.7646988932291661,4.0,0.08295706,0.47885305,16.23447036743164,1.039088441225315,25,3,0.4381899,0.022136777639389003,35.51614046089647,0.39638852833499305,2.065817898255773e-05,1.0408329997330663,12562.584776088233,0.7945490506192311,0.7028377450980391,5,0.06512939453125,0.246754040492233
pixabay_first50k/medium/race-5351045.jpg,4.552163936197758,5.692191678158451,161678.3807883705,0.26999688885606005,0.5348271868672416,155.9400565826547,82.27324926361831,7,3,6,7,0,0.9823600973236011,4,0.012105305989583,0.10935615006245301,"[196, 192, 178]",64720.24518671472,pixabay_first50k/medium/race-5351045.jpg,41183.511473795574,188.66666666666666,2.7187833658854172,2.565217391304348,0.45675263,0.23673017,19.16135025024414,9.101289553018882,23,16,0.3065172,2.564634726809345e-08,28.506201941110277,0.419680526461564,0.8016082644462581,1.2367878835009276,12181.348619975353,2.060276196406325,0.826320392156862,7,0.10902099609375,0.311665555531047
pixabay_first50k/medium/man-and-nature-320129.jpg,4.760450214147568,5.749319795766581,87330.34534721571,0.236816547902739,0.3553762775290527,115.32206285003926,86.19431705521771,0,4,13,7,4,0.9974059662775611,2,0.004267621145374,0.06518748771914701,"[86, 118, 160]",63106.38789322112,pixabay_first50k/medium/man-and-nature-320129.jpg,18547.17695587588,121.33333333333333,0.45178715522300406,3.392857142857143,0.31063303,0.4622819,17.826904296875,0.722530897078514,28,5,0.22708507,0.0015780031681060002,28.910274061667778,0.42473363339117604,0.22017350792884802,0.9164862737363229,13337.492807683662,1.123187040443027,0.5599658823529411,2,0.013005245011737,0.113296551641794
pixabay_first50k/medium/lion-4581841.jpg,4.676116123795509,5.689482637185023,16172.549186221497,0.442140714230693,0.3275197647665149,162.8983131237042,88.03778785759671,0,0,8,7,14,0.896480331262939,3,0.002451429618768,0.049451189182794,"[12, 14, 5]",56065.16719529823,pixabay_first50k/medium/lion-4581841.jpg,26680.85730509965,10.333333333333334,1.6840159730363422,4.206896551724138,0.2057101,0.39269647,18.64752769470215,0.7352424422305051,29,22,0.40159342,0.07070723176002501,47.67728103139574,0.217835580523341,0.026570975780487,0.8610338613230187,23643.31393478033,2.821394566185948,0.653396078431372,4,0.022975893903868002,0.14982657375508102
pixabay_first50k/medium/ruins-5497556.jpg,4.990860063582659,5.728069553374098,92432.88757365747,0.24660929877225002,0.4289573375833857,152.14095321105245,94.7920381869695,0,0,6,6,3,0.9770808202653791,2,0.036960891812865,0.188665800529039,"[124, 165, 188]",62915.42735518101,pixabay_first50k/medium/ruins-5497556.jpg,32188.42267724153,159.0,2.776801620911214,3.8,0.29687798,0.43450597,16.840585708618164,1.426885793090161,15,9,0.268616,0.9509176611900331,30.604645955267557,0.43989063568707704,4.423744144332886e-07,0.7745966692414834,18691.01672823008,2.938399324143711,0.6060443137254901,20,0.03010824328271,0.170885157252288
pixabay_first50k/medium/tulip-561050.jpg,3.859638608992099,6.140194993738078,21120.682669669815,0.302657089379611,0.3731914738275923,115.34970708460743,86.30174205175283,1,1,6,12,10,0.990182328190743,2,0.007005899705014001,0.083407536076412,"[129, 14, 3]",60034.90395152055,pixabay_first50k/medium/tulip-561050.jpg,24619.40636423939,48.666666666666664,0.789697265625,3.966666666666667,0.1752679,0.41544643,18.80815315246582,0.514594366611982,30,8,0.40928572,8.848724064591806e-07,88.3179886824884,0.259103554081528,0.6585146188735961,0.9994251221140298,13410.26318347722,1.32639176045026,0.5271313725490191,6,0.037913657134433,0.190987464869102
