base_img,factor,pref_upscaler,pref_mos
IMG_4884,x2,KXNet,4.0
IMG_4884,x4,KXNet,3.0
IMG_4889,x2,Real-ESRGAN,3.4375
IMG_4889,x4,BSRGAN,3.1
IMG_4922_,x2,KXNet,3.4615384615384617
IMG_4922_,x4,Real-ESRGAN,2.8636363636363638
IMG_5003,x2,Real-ESRGAN,4.0588235294117645
IMG_5003,x4,BSRGAN,3.526315789473684
IMG_5010,x2,Real-ESRGAN,2.823529411764706
IMG_5010,x4,BSRGAN,3.3333333333333335
IMG_5045,x2,Real-ESRGAN,4.133333333333334
IMG_5045,x4,Real-ESRGAN,3.5833333333333335
IMG_5050,x2,waifu2x,3.8
IMG_5050,x4,Real-ESRGAN,3.2857142857142856
IMG_5099,x2,KXNet,3.4
IMG_5099,x4,Real-ESRGAN,3.1875
IMG_5127,x2,Real-ESRGAN,3.7857142857142856
IMG_5127,x4,Real-ESRGAN,3.227272727272727
IMG_5128,x2,BSRGAN,3.9444444444444446
IMG_5128,x4,Real-ESRGAN,3.7142857142857144
IMG_5150,x2,KXNet,3.2142857142857144
IMG_5150,x4,BSRGAN,2.6
IMG_5170,x2,BSRGAN,3.933333333333333
IMG_5170,x4,Real-ESRGAN,3.6923076923076925
IMG_5188,x2,BSRGAN,3.8333333333333335
IMG_5188,x4,Real-ESRGAN,2.9473684210526314
IMG_5283,x2,BSRGAN,3.727272727272727
IMG_5283,x4,Real-ESRGAN,3.3125
IMG_5334,x2,KXNet,3.642857142857143
IMG_5334,x4,BSRGAN,3.25
IMG_5359,x2,BSRGAN,4.111111111111111
IMG_5359,x4,Real-ESRGAN,3.6
IMG_5391,x2,Real-ESRGAN,3.4615384615384617
IMG_5391,x4,BSRGAN,2.8125
IMG_5424,x2,BSRGAN,3.473684210526316
IMG_5424,x4,Real-ESRGAN,3.2
IMG_5452,x2,waifu2x,3.888888888888889
IMG_5452,x4,waifu2x,3.4444444444444446
IMG_5484,x2,BSRGAN,3.533333333333333
IMG_5484,x4,BSRGAN,3.0
IMG_5541,x2,KXNet,3.823529411764706
IMG_5541,x4,Real-ESRGAN,3.230769230769231
IMG_5549,x2,BSRGAN,3.9375
IMG_5549,x4,BSRGAN,3.888888888888889
IMG_5557,x2,Real-ESRGAN,3.7857142857142856
IMG_5557,x4,Real-ESRGAN,3.7857142857142856
IMG_5567,x2,Real-ESRGAN,3.7333333333333334
IMG_5567,x4,waifu2x,3.2857142857142856
IMG_5571,x2,BSRGAN,3.5714285714285716
IMG_5571,x4,BSRGAN,3.8333333333333335
IMG_5572,x2,Real-ESRGAN,3.5714285714285716
IMG_5572,x4,Real-ESRGAN,2.5
IMG_5656,x2,BSRGAN,3.7222222222222223
IMG_5656,x4,BSRGAN,3.0833333333333335
IMG_5792,x2,Real-ESRGAN,3.7857142857142856
IMG_5792,x4,Real-ESRGAN,3.608695652173913
IMG_5936,x2,BSRGAN,3.5384615384615383
IMG_5936,x4,BSRGAN,2.95
IMG_5971,x2,waifu2x,4.2
IMG_5971,x4,waifu2x,3.2857142857142856
IMG_5971_,x2,KXNet,4.357142857142857
IMG_5971_,x4,BSRGAN,2.95
IMG_5982,x2,Real-ESRGAN,3.6666666666666665
IMG_5982,x4,BSRGAN,3.0
IMG_5983,x2,waifu2x,4.352941176470588
IMG_5983,x4,Real-ESRGAN,3.888888888888889
IMG_5984,x2,KXNet,4.2
IMG_5984,x4,BSRGAN,4.05
IMG_6010,x2,Real-ESRGAN,3.857142857142857
IMG_6010,x4,BSRGAN,3.75
IMG_6177_golden_2,x2,Real-ESRGAN,4.0
IMG_6177_golden_2,x4,Real-ESRGAN,3.588235294117647
IMG_6215_california,x2,Real-ESRGAN,4.214285714285714
IMG_6215_california,x4,BSRGAN,2.875
IMG_6222,x2,BSRGAN,3.5
IMG_6222,x4,BSRGAN,3.8095238095238093
IMG_6255_,x2,Real-ESRGAN,3.4444444444444446
IMG_6255_,x4,Real-ESRGAN,2.857142857142857
IMG_6258_,x2,Real-ESRGAN,3.764705882352941
IMG_6258_,x4,BSRGAN,3.357142857142857
IMG_6314,x2,Real-ESRGAN,3.5
IMG_6314,x4,Real-ESRGAN,3.2142857142857144
IMG_6426,x2,BSRGAN,3.625
IMG_6426,x4,Real-ESRGAN,3.7777777777777777
IMG_6454,x2,Real-ESRGAN,3.5625
IMG_6454,x4,Real-ESRGAN,2.411764705882353
IMG_6457,x2,waifu2x,3.5
IMG_6457,x4,Real-ESRGAN,3.4
IMG_6790,x2,BSRGAN,4.2
IMG_6790,x4,Real-ESRGAN,2.6923076923076925
IMG_6819,x2,Real-ESRGAN,4.181818181818182
IMG_6819,x4,Real-ESRGAN,3.6666666666666665
IMG_6837,x2,Real-ESRGAN,4.0625
IMG_6837,x4,BSRGAN,3.25
IMG_6838,x2,waifu2x,3.8333333333333335
IMG_6838,x4,BSRGAN,3.588235294117647
IMG_6909,x2,BSRGAN,3.8181818181818183
IMG_6909,x4,Real-ESRGAN,3.1538461538461537
IMG_6945,x2,KXNet,2.6363636363636362
IMG_6945,x4,BSRGAN,3.75
IMG_6970,x2,KXNet,3.6363636363636362
IMG_6970,x4,BSRGAN,3.923076923076923
IMG_6976,x2,BSRGAN,3.8823529411764706
IMG_6976,x4,Real-ESRGAN,3.4
IMG_7057,x2,Real-ESRGAN,4.214285714285714
IMG_7057,x4,Real-ESRGAN,3.230769230769231
IMG_7141,x2,Real-ESRGAN,3.8666666666666667
IMG_7141,x4,Real-ESRGAN,3.2777777777777777
IMG_7187,x2,Real-ESRGAN,4.55
IMG_7187,x4,BSRGAN,3.6153846153846154
IMG_7392_,x2,Real-ESRGAN,4.333333333333333
IMG_7392_,x4,BSRGAN,4.111111111111111
IMG_7450,x2,BSRGAN,3.8125
IMG_7450,x4,Real-ESRGAN,3.857142857142857
IMG_7455,x2,BSRGAN,3.95
IMG_7455,x4,BSRGAN,3.933333333333333
IMG_7579,x2,Real-ESRGAN,3.857142857142857
IMG_7579,x4,Real-ESRGAN,3.4545454545454546
IMG_7595,x2,KXNet,3.6666666666666665
IMG_7595,x4,waifu2x,2.8
IMG_7640,x2,Real-ESRGAN,4.411764705882353
IMG_7640,x4,Real-ESRGAN,3.2941176470588234
IMG_7663,x2,waifu2x,4.235294117647059
IMG_7663,x4,KXNet,2.473684210526316
IMG_7753,x2,Real-ESRGAN,4.0588235294117645
IMG_7753,x4,BSRGAN,3.3076923076923075
IMG_7758,x2,Real-ESRGAN,3.533333333333333
IMG_7758,x4,BSRGAN,3.0555555555555554
IMG_7817,x2,Real-ESRGAN,3.6875
IMG_7817,x4,BSRGAN,3.0
IMG_7893,x2,KXNet,4.285714285714286
IMG_7893,x4,Real-ESRGAN,3.7
IMG_7955,x2,Real-ESRGAN,4.230769230769231
IMG_7955,x4,Real-ESRGAN,4.066666666666666
IMG_8098,x2,KXNet,3.9583333333333335
